game_id,year,game_site,opp_rank,opp,opp_conf,result,pts_scored,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,tot_plays,tot_yds,avg_play,1st_downs,tot_fum,tot_int,tot_turn
3.14,2017,neutral,3,Georgia,SEC,L,48,24,36,66.7,289,3,45,242,5.4,2,81,531,6.6,24,0,1,1
4.01,2016,neutral,15,Houston,American,L,23,24,34,70.6,323,2,26,70,2.7,1,60,393,6.6,17,2,0,2
4.02,2016,home,NULL,Louisiana-Monroe,Sun Belt,W,59,26,35,74.3,352,5,46,288,6.3,3,81,640,7.9,30,1,0,1
4.03,2016,home,3,Ohio State,Big 10,L,24,17,32,53.1,226,2,35,178,5.1,0,67,404,6,19,0,2,2
4.04,2016,away,21,Texas Christian,Big 12,W,52,23,30,76.7,274,2,48,260,5.4,5,78,534,6.8,23,2,0,2
4.05,2016,neutral,NULL,Texas,Big 12,W,45,22,31,71,390,3,55,282,5.1,3,86,672,7.8,28,2,2,4
4.06,2016,home,NULL,Kansas State,Big 12,W,38,26,32,81.3,372,5,33,138,4.2,0,65,510,7.8,24,0,1,1
4.07,2016,away,NULL,Texas Tech,Big 12,W,66,27,36,75,545,7,40,309,7.7,2,76,854,11.2,33,0,0,0
4.08,2016,home,NULL,Kansas,Big 12,W,56,20,33,60.6,271,4,38,267,7,2,71,538,7.6,24,1,0,1
4.09,2016,away,NULL,Iowa State,Big 12,W,34,25,34,73.5,328,4,42,149,3.5,0,76,477,6.3,28,0,1,1
4.1,2016,home,25,Baylor,Big 12,W,45,20,25,80,300,2,50,253,5.1,4,75,553,7.4,23,0,1,1
4.11,2016,away,10,West Virginia,Big 12,W,56,9,15,60,169,2,64,316,4.9,5,79,485,6.1,27,0,1,1
4.12,2016,home,11,Oklahoma State,Big 12,W,38,13,19,68.4,288,3,52,341,6.6,2,71,629,8.9,25,1,0,1
4.13,2016,neutral,17,Auburn,SEC,W,35,19,28,67.9,296,2,43,228,5.3,3,71,524,7.4,28,0,0,0
5.01,2015,home,NULL,Akron,MAC,W,41,28,42,66.7,439,3,33,100,3,2,75,539,7.2,26,1,1,2
5.02,2015,away,23,Tennessee,SEC,W,31,19,39,48.7,187,3,48,161,3.4,1,87,348,4,20,0,2,2
5.03,2015,home,NULL,Tulsa,American,W,52,32,38,84.2,487,4,47,286,6.1,3,85,773,9.1,39,2,0,2
5.04,2015,home,23,West Virginia,Big 12,W,44,14,25,56,320,3,33,107,3.2,1,58,427,7.4,16,1,1,2
5.05,2015,neutral,NULL,Texas,Big 12,L,17,20,28,71.4,211,1,37,67,1.8,1,65,278,4.3,21,1,0,1
5.06,2015,away,NULL,Kansas State,Big 12,W,55,25,32,78.1,336,5,52,232,4.5,1,84,568,6.8,30,0,0,0
5.07,2015,home,NULL,Texas Tech,Big 12,W,63,15,22,68.2,212,2,57,405,7.1,7,79,617,7.8,35,1,1,2
5.08,2015,away,NULL,Kansas,Big 12,W,62,33,41,80.5,445,5,41,265,6.5,3,82,710,8.7,35,2,0,2
5.09,2015,home,NULL,Iowa State,Big 12,W,52,25,33,75.8,405,4,39,279,7.2,3,72,684,9.5,28,1,0,1
5.1,2015,away,4,Baylor,Big 12,W,44,24,34,70.6,270,3,53,241,4.5,3,87,511,5.9,28,0,1,1
5.11,2015,home,11,Texas Christian,Big 12,W,30,14,37,37.8,203,2,59,333,5.6,1,96,536,5.6,28,0,1,1
5.12,2015,away,9,Oklahoma State,Big 12,W,58,17,25,68,180,2,42,344,8.2,5,67,524,7.8,23,0,0,0
5.13,2015,neutral,1,Clemson,ACC,L,17,26,43,60.5,311,1,33,67,2,1,76,378,5,24,0,2,2
6.01,2014,home,NULL,Louisiana Tech,CUSA,W,48,19,34,55.9,253,1,40,183,4.6,5,74,436,5.9,26,1,1,2
6.02,2014,away,NULL,Tulsa,American,W,52,24,38,63.2,319,2,31,261,8.4,4,69,580,8.4,26,0,0,0
6.03,2014,home,NULL,Tennessee,SEC,W,34,20,33,60.6,308,1,34,146,4.3,2,67,454,6.8,21,1,1,2
6.04,2014,away,NULL,West Virginia,Big 12,W,45,17,30,56.7,209,1,46,301,6.5,4,76,510,6.7,24,0,1,1
6.05,2014,away,25,Texas Christian,Big 12,L,33,14,36,38.9,309,1,42,152,3.6,3,78,461,5.9,19,0,2,2
6.06,2014,neutral,NULL,Texas,Big 12,W,31,12,20,60,129,1,30,103,3.4,1,50,232,4.6,11,0,0,0
6.07,2014,home,14,Kansas State,Big 12,L,30,28,36,77.8,335,3,42,198,4.7,1,78,533,6.8,30,0,2,2
6.08,2014,away,NULL,Iowa State,Big 12,W,59,23,43,53.5,241,3,59,510,8.6,5,102,751,7.4,41,0,3,3
6.09,2014,home,10,Baylor,Big 12,L,14,13,29,44.8,148,2,33,171,5.2,0,62,319,5.1,13,0,1,1
6.1,2014,away,NULL,Texas Tech,Big 12,W,42,10,20,50,133,1,51,384,7.5,5,71,517,7.3,25,0,3,3
6.11,2014,home,NULL,Kansas,Big 12,W,44,3,13,23.1,39,0,55,510,9.3,5,68,549,8.1,19,2,0,2
6.12,2014,home,NULL,Oklahoma State,Big 12,L,35,10,17,58.8,120,1,63,304,4.8,4,80,424,5.3,21,1,0,1
6.13,2014,neutral,18,Clemson,ACC,L,6,17,37,45.9,103,0,31,172,5.5,1,68,275,4,17,2,3,5
7.01,2013,Big 12,NULL,Louisiana-Monroe,Sun Belt,W,34,14,33,42.4,124,3,50,305,6.1,1,83,429,5.2,25,0,1,1
7.02,2013,Big 12,NULL,West Virginia,Big 12,W,16,10,21,47.6,119,1,57,316,5.5,0,78,435,5.6,21,2,2,4
7.03,2013,Big 12,NULL,Tulsa,CUSA,W,51,27,37,73,413,4,44,194,4.4,2,81,607,7.5,27,0,0,0
7.04,2013,away,22,Notre Dame,Independent,W,35,23,31,74.2,238,2,42,212,5,1,73,450,6.2,25,0,0,0
7.05,2013,Big 12,NULL,Texas Christian,Big 12,W,20,20,31,64.5,152,0,38,203,5.3,2,69,355,5.1,20,1,0,1
7.06,2013,neutral,NULL,Texas,Big 12,L,20,12,26,46.2,133,0,33,130,3.9,1,59,263,4.5,13,0,2,2
